location,area_sqft,resale,no_of_bedrooms,nearby_school_1km,nearby_hospital_1km,nearby_mall_1km,nearby_gym_1km,swimmingpool,rainwaterharvesting,sportsfacility,powerbackup,carparking,childrens_playarea,liftavailable,price
iyyappanthangal,1170,0,2,0,0,0,1,1,0,0,1,0,1,0,7014000.0
iyyappanthangal,1760,0,3,0,0,0,1,1,0,0,1,0,1,0,10500000.0
iyyappanthangal,1740,0,3,0,0,0,1,1,0,0,1,0,1,0,10400000.0
iyyappanthangal,1190,0,2,0,0,0,1,1,0,0,1,0,1,0,7134000.0
iyyappanthangal,1730,0,3,0,0,0,1,1,0,0,1,0,1,0,10300000.0
madhavaram,1536,0,3,0,0,0,1,1,1,0,1,0,1,1,7295999.0
madhavaram,1339,0,2,0,0,0,1,1,1,0,1,0,1,1,6360000.0
madhavaram,1791,0,3,0,0,0,1,1,1,0,1,0,1,1,8507000.0
kolapakkam,936,0,2,0,0,0,1,1,1,0,1,1,1,1,5500000.0
kolapakkam,1179,0,3,0,0,0,1,1,1,0,1,1,1,1,7550000.0
kolapakkam,988,0,2,0,0,0,1,1,1,0,1,1,1,1,5735000.0
kolapakkam,955,0,2,0,0,0,1,1,1,0,1,1,1,1,5560000.0
kolapakkam,1224,0,3,0,0,0,1,1,1,0,1,1,1,1,7700000.0
kolapakkam,958,0,2,0,0,0,1,1,1,0,1,1,1,1,5580000.0
kolapakkam,948,0,2,0,0,0,1,1,1,0,1,1,1,1,5520000.0
kundrathur,648,0,2,0,0,0,1,0,0,0,0,1,0,0,2397000.0
iyyappanthangal,625,0,1,0,0,0,1,1,0,0,1,0,1,0,3746000.0
iyyappanthangal,1210,0,2,0,0,0,1,1,0,0,1,0,1,0,7253000.0
iyyappanthangal,1215,0,2,0,0,0,1,1,0,0,1,0,1,0,7283000.0
iyyappanthangal,1790,0,3,0,0,0,1,1,0,0,1,0,1,0,10900000.0
kanathur reddikuppam,1502,0,3,0,0,0,1,1,1,1,1,0,1,1,7056999.0
kanathur reddikuppam,5037,0,5,0,0,0,1,1,1,1,1,0,1,1,29200000.0
kanathur reddikuppam,5093,0,5,0,0,0,1,1,1,1,1,0,1,1,29500000.0
kanathur reddikuppam,1865,0,3,0,0,0,1,1,1,1,1,0,1,1,8763000.0
pammal,1076,0,2,0,0,0,0,0,0,0,0,0,0,1,6025000.0
pammal,1030,0,2,0,0,0,0,0,0,0,0,0,0,1,5768000.0
pammal,812,0,2,0,0,0,0,0,0,0,0,0,0,1,4547000.0
pammal,930,0,2,0,0,0,0,0,0,0,0,0,0,1,5208000.0
pammal,1300,0,3,0,0,0,0,0,0,0,0,0,0,1,7280000.0
puzhal,1382,0,3,0,0,0,1,1,1,0,1,1,1,1,6495000.0
puzhal,1445,0,3,0,0,0,1,1,1,0,1,1,1,1,6791000.0
puzhal,1551,0,3,0,0,0,1,1,1,0,1,1,1,1,7289000.0
puzhal,1626,0,3,0,0,0,1,1,1,0,1,1,1,1,7642000.0
selaiyur,753,0,2,0,0,0,0,0,0,0,1,0,0,0,4641000.0
selaiyur,801,0,2,0,0,0,0,0,0,0,1,0,0,0,4907000.0
selaiyur,761,0,2,0,0,0,0,0,0,0,1,0,0,0,4685000.0
selaiyur,727,0,2,0,0,0,0,0,0,0,1,0,0,0,4498000.0
selaiyur,784,0,2,0,0,0,0,0,0,0,1,0,0,0,4812000.0
thoraipakkam,1431,0,3,0,0,0,1,1,1,0,1,1,0,1,11000000.0
thoraipakkam,1494,0,3,0,0,0,1,1,1,0,1,1,0,1,11500000.0
thoraipakkam,1296,0,3,0,0,0,1,1,1,0,1,1,0,1,10000000.0
thoraipakkam,1302,0,3,0,0,0,1,1,1,0,1,1,0,1,10000000.0
thoraipakkam,1432,0,3,0,0,0,1,1,1,0,1,1,0,1,11000000.0
thoraipakkam,1367,0,3,0,0,0,1,1,1,0,1,1,0,1,10500000.0
thoraipakkam,1349,0,3,0,0,0,1,1,1,0,1,1,0,1,10400000.0
thoraipakkam,1551,0,3,0,0,0,1,1,1,0,1,1,0,1,12000000.0
thoraipakkam,1485,0,3,0,0,0,1,1,1,0,1,1,0,1,11500000.0
thoraipakkam,1353,0,3,0,0,0,1,1,1,0,1,1,0,1,10400000.0
thoraipakkam,1352,0,3,0,0,0,1,1,1,0,1,1,0,1,10400000.0
thoraipakkam,1396,0,3,0,0,0,1,1,1,0,1,1,0,1,10800000.0
karapakkam,1239,0,2,0,0,0,1,1,0,0,1,1,1,1,6504000.0
karapakkam,1647,0,3,0,0,0,1,1,0,0,1,1,1,1,8646000.0
karapakkam,1229,0,2,0,0,0,1,1,0,0,1,1,1,1,6452000.0
karapakkam,1618,0,3,0,0,0,1,1,0,0,1,1,1,1,8494000.0
karapakkam,1227,0,2,0,0,0,1,1,0,0,1,1,1,1,6441000.0
karapakkam,1231,0,2,0,0,0,1,1,0,0,1,1,1,1,6462000.0
karapakkam,1230,0,2,0,0,0,1,1,0,0,1,1,1,1,6456999.0
karapakkam,1604,0,3,0,0,0,1,1,0,0,1,1,1,1,8421000.0
karapakkam,1208,0,2,0,0,0,1,1,0,0,1,1,1,1,6342000.0
karapakkam,527,0,1,0,0,0,1,1,0,0,1,1,1,1,2766000.0
thoraipakkam,1671,0,3,0,0,0,1,0,0,0,1,0,0,0,9357000.0
karapakkam,1606,0,3,0,0,0,1,1,0,0,1,1,1,1,8431000.0
thoraipakkam,1827,0,4,0,0,0,1,0,0,0,1,0,0,0,10200000.0
karapakkam,1614,0,3,0,0,0,1,1,0,0,1,1,1,1,8473000.0
karapakkam,1200,0,2,0,0,0,1,1,0,0,1,1,1,1,6300000.0
thoraipakkam,1546,0,3,0,0,0,1,0,0,0,1,0,0,0,8657000.0
karapakkam,1569,0,3,0,0,0,1,1,0,0,1,1,1,1,8237000.0
thoraipakkam,1452,0,2,0,0,0,1,0,0,0,1,0,0,0,8131000.0
karapakkam,574,0,1,0,0,0,1,1,0,0,1,1,1,1,3013000.0
karapakkam,576,0,1,0,0,0,1,1,0,0,1,1,1,1,3024000.0
thoraipakkam,1286,0,2,0,0,0,1,0,0,0,1,0,0,0,7201000.0
karapakkam,1316,0,2,0,0,0,1,1,0,0,1,1,1,1,6909000.0
thoraipakkam,1550,0,3,0,0,0,1,0,0,0,1,0,0,0,8680000.0
karapakkam,1554,0,3,0,0,0,1,1,0,0,1,1,1,1,8158000.0
thoraipakkam,1421,0,2,0,0,0,1,0,0,0,1,0,0,0,7956999.0
karapakkam,566,0,1,0,0,0,1,1,0,0,1,1,1,1,2971000.0
karapakkam,1288,0,2,0,0,0,1,1,0,0,1,1,1,1,6762000.0
thoraipakkam,1289,0,2,0,0,0,1,0,0,0,1,0,0,0,7218000.0
karapakkam,568,0,1,0,0,0,1,1,0,0,1,1,1,1,2982000.0
karapakkam,1563,0,3,0,0,0,1,1,0,0,1,1,1,1,8205000.0
thoraipakkam,1593,0,3,0,0,0,1,0,0,0,1,0,0,0,8920000.0
karapakkam,1302,0,2,0,0,0,1,1,0,0,1,1,1,1,6834999.0
thoraipakkam,1528,0,3,0,0,0,1,0,0,0,1,0,0,0,8556000.0
karapakkam,564,0,1,0,0,0,1,1,0,0,1,1,1,1,2961000.0
mogappair,1846,0,3,0,0,0,1,1,0,0,0,0,0,0,11500000.0
mogappair,1850,0,3,0,0,0,1,1,0,0,0,0,0,0,11500000.0
mugalivakkam,920,0,2,1,0,0,1,0,0,0,1,1,1,1,4140000.0
mugalivakkam,952,0,2,1,0,0,1,0,0,0,1,1,1,1,4284000.0
mugalivakkam,950,0,2,1,0,0,1,0,0,0,1,1,1,1,4275000.0
mugalivakkam,891,0,2,1,0,0,1,0,0,0,1,1,1,1,4009000.0
mugalivakkam,956,0,2,1,0,0,1,0,0,0,1,1,1,1,4302000.0
mugalivakkam,906,0,2,1,0,0,1,0,0,0,1,1,1,1,4077000.0
mugalivakkam,987,0,2,1,0,0,1,0,0,0,1,1,1,1,4441000.0
mugalivakkam,993,0,2,1,0,0,1,0,0,0,1,1,1,1,4468000.0
mugalivakkam,927,0,2,1,0,0,1,0,0,0,1,1,1,1,4171000.0
mugalivakkam,942,0,2,1,0,0,1,0,0,0,1,1,1,1,4239000.0
mugalivakkam,931,0,2,1,0,0,1,0,0,0,1,1,1,1,4189000.0
mugalivakkam,865,0,2,1,0,0,1,0,0,0,1,1,1,1,3892000.0
anna nagar,1161,0,3,0,0,0,0,0,1,0,1,1,0,1,15000000.0
adyar,1500,0,3,0,0,0,0,0,0,0,1,0,0,0,27300000.0
sholinganallur,1437,0,3,0,0,0,1,0,1,0,1,0,1,0,7784999.0
sholinganallur,1310,0,3,0,0,0,1,0,1,0,1,0,1,0,7841000.0
sholinganallur,1006,0,2,0,0,0,1,0,1,0,1,0,1,0,5663000.0
sholinganallur,1120,0,2,0,0,0,1,0,1,0,1,0,1,0,6224000.0
sholinganallur,1119,0,2,0,0,0,1,0,1,0,1,0,1,0,6219000.0
sholinganallur,1118,0,2,0,0,0,1,0,1,0,1,0,1,0,6214000.0
sholinganallur,1004,0,2,0,0,0,1,0,1,0,1,0,1,0,5778000.0
sholinganallur,1115,0,2,0,0,0,1,0,1,0,1,0,1,0,6200000.0
sholinganallur,1114,0,2,0,0,0,1,0,1,0,1,0,1,0,6195000.0
sholinganallur,1003,0,2,0,0,0,1,0,1,0,1,0,1,0,5648000.0
sholinganallur,1094,0,2,0,0,0,1,0,1,0,1,0,1,0,6245000.0
sholinganallur,1026,0,2,0,0,0,1,0,1,0,1,0,1,0,5816000.0
sholinganallur,1103,0,2,0,0,0,1,0,1,0,1,0,1,0,6141000.0
sholinganallur,1075,0,2,0,0,0,1,0,1,0,1,0,1,0,6003000.0
sholinganallur,1073,0,2,0,0,0,1,0,1,0,1,0,1,0,5993000.0
sholinganallur,1010,0,2,0,0,0,1,0,1,0,1,0,1,0,5682000.0
sholinganallur,1009,0,2,0,0,0,1,0,1,0,1,0,1,0,5678000.0
sholinganallur,1124,0,2,0,0,0,1,0,1,0,1,0,1,0,6776000.0
sholinganallur,1133,0,2,0,0,0,1,0,1,0,1,0,1,0,6853000.0
mogappair,1158,0,2,0,0,0,1,1,0,0,1,1,1,1,7527000.0
mogappair,1025,0,2,0,0,0,1,1,0,0,1,1,1,1,6662000.0
mogappair,1594,0,3,0,0,0,1,1,0,0,1,1,1,1,10300000.0
mugalivakkam,1106,0,2,0,0,0,1,1,1,0,1,1,1,1,6083000.0
mugalivakkam,1816,0,3,0,0,0,1,1,1,0,1,1,1,1,10200000.0
mugalivakkam,2096,0,4,0,0,0,1,1,1,0,1,1,1,1,11500000.0
mugalivakkam,1557,0,3,0,0,0,1,1,1,0,1,1,1,1,8563000.0
mugalivakkam,584,0,1,0,0,0,1,1,1,0,1,1,1,1,3211999.0
mugalivakkam,1633,0,3,0,0,0,1,1,1,0,1,1,1,1,8981000.0
mugalivakkam,598,0,1,0,0,0,1,1,1,0,1,1,1,1,3289000.0
mugalivakkam,993,0,2,0,0,0,1,1,1,0,1,1,1,1,5461000.0
purasaiwakkam,2200,0,4,0,0,0,0,0,0,0,1,0,0,1,39000000.0
medavakkam,917,0,2,0,0,0,0,0,0,0,1,0,0,0,5226000.0
medavakkam,1163,0,3,0,0,0,0,0,0,0,1,0,0,0,6629000.0
medavakkam,979,0,2,0,0,0,0,0,0,0,1,0,0,0,5580000.0
medavakkam,929,0,2,0,0,0,0,0,0,0,1,0,0,0,5295000.0
east tambaram,906,0,2,1,0,0,0,0,0,0,0,0,0,0,5889000.0
east tambaram,942,0,2,1,0,0,0,0,0,0,0,0,0,0,6123000.0
east tambaram,1008,0,2,1,0,0,0,0,0,0,0,0,0,0,6552000.0
east tambaram,1197,0,3,1,0,0,0,0,0,0,0,0,0,0,7780000.0
east tambaram,1013,0,2,1,0,0,0,0,0,0,0,0,0,0,6584000.0
east tambaram,1102,0,3,1,0,0,0,0,0,0,0,0,0,0,7163000.0
east tambaram,913,0,2,1,0,0,0,0,0,0,0,0,0,0,5934000.0
maduravoyal,1571,0,3,0,0,0,1,1,0,0,1,1,1,1,10200000.0
maduravoyal,1141,0,2,0,0,0,1,1,0,0,1,1,1,1,7415000.0
maduravoyal,1040,0,2,0,0,0,1,1,0,0,1,1,1,1,6758000.0
maduravoyal,1479,0,3,0,0,0,1,1,0,0,1,1,1,1,9612000.0
maduravoyal,1116,0,2,0,0,0,1,1,0,0,1,1,1,1,7252000.0
maduravoyal,1158,0,2,0,0,0,1,1,0,0,1,1,1,1,7525000.0
maduravoyal,1026,0,2,0,0,0,1,1,0,0,1,1,1,1,6667000.0
maduravoyal,1025,0,2,0,0,0,1,1,0,0,1,1,1,1,6661000.0
maduravoyal,1594,0,3,0,0,0,1,1,0,0,1,1,1,1,10300000.0
maduravoyal,1568,0,3,0,0,0,1,1,0,0,1,1,1,1,10100000.0
maduravoyal,1067,0,2,0,0,0,1,1,0,0,1,1,1,1,6934000.0
sholinganallur,1515,0,3,1,1,1,1,1,1,0,1,1,1,1,6967000.0
sholinganallur,1415,0,2,1,1,1,1,1,1,0,1,1,1,1,6506999.0
tiruvottiyur,541,0,1,0,0,0,0,0,0,0,0,0,0,0,2529000.0
tiruvottiyur,544,0,1,0,0,0,0,0,0,0,0,0,0,0,2542000.0
tiruvottiyur,742,0,2,0,0,0,0,0,0,0,0,0,0,0,3404999.0
tiruvottiyur,740,0,2,0,0,0,0,0,0,0,0,0,0,0,3397000.0
tiruvottiyur,540,0,1,0,0,0,0,0,0,0,0,0,0,0,2525000.0
tiruvottiyur,739,0,2,0,0,0,0,0,0,0,0,0,0,0,3392000.0
tiruvottiyur,586,0,1,0,0,0,0,0,0,0,0,0,0,0,2725000.0
tiruvottiyur,724,0,2,0,0,0,0,0,0,0,0,0,0,0,3327000.0
tiruvottiyur,583,0,1,0,0,0,0,0,0,0,0,0,0,0,2710000.0
tiruvottiyur,550,0,1,0,0,0,0,0,0,0,0,0,0,0,2567000.0
tiruvottiyur,745,0,2,0,0,0,0,0,0,0,0,0,0,0,3418000.0
tiruvottiyur,582,0,1,0,0,0,0,0,0,0,0,0,0,0,2708000.0
tiruvottiyur,546,0,1,0,0,0,0,0,0,0,0,0,0,0,2550000.0
tiruvottiyur,747,0,2,0,0,0,0,0,0,0,0,0,0,0,3427000.0
perungalathur,572,0,2,0,0,0,0,0,0,0,0,0,1,1,2259000.0
perungalathur,510,0,1,0,0,0,0,0,0,0,0,0,1,1,2014000.0
perungalathur,702,0,2,0,0,0,0,0,0,0,0,0,1,1,2772000.0
perungalathur,806,0,2,0,0,0,0,0,0,0,0,0,1,1,3183000.0
perungalathur,706,0,2,0,0,0,0,0,0,0,0,0,1,1,2788000.0
perungalathur,507,0,1,0,0,0,0,0,0,0,0,0,1,1,2002000.0
perungalathur,701,0,2,0,0,0,0,0,0,0,0,0,1,1,2768000.0
perungalathur,700,0,2,0,0,0,0,0,0,0,0,0,1,1,2765000.0
perungalathur,821,0,2,0,0,0,0,0,0,0,0,0,1,1,3242000.0
perungalathur,622,0,2,0,0,0,0,0,0,0,0,0,1,1,2456000.0
perungalathur,620,0,2,0,0,0,0,0,0,0,0,0,1,1,2449000.0
perungalathur,619,0,2,0,0,0,0,0,0,0,0,0,1,1,2445000.0
perungalathur,627,0,2,0,0,0,0,0,0,0,0,0,1,1,2476000.0
perungalathur,522,0,1,0,0,0,0,0,0,0,0,0,1,1,2061000.0
perungalathur,614,0,2,0,0,0,0,0,0,0,0,0,1,1,2425000.0
perungalathur,810,0,2,0,0,0,0,0,0,0,0,0,1,1,3199000.0
perungalathur,519,0,1,0,0,0,0,0,0,0,0,0,1,1,2050000.0
perungalathur,618,0,2,0,0,0,0,0,0,0,0,0,1,1,2441000.0
iyyappanthangal,2277,0,4,1,1,1,1,1,1,0,1,1,1,1,17600000.0
iyyappanthangal,1800,0,3,1,1,1,1,1,1,0,1,1,1,1,13000000.0
iyyappanthangal,2533,0,4,1,1,1,1,1,1,0,1,1,1,1,19500000.0
iyyappanthangal,1938,0,3,1,1,1,1,1,1,0,1,1,1,1,13899999.0
iyyappanthangal,2621,0,4,1,1,1,1,1,1,0,1,1,1,1,20200000.0
iyyappanthangal,1990,0,3,1,1,1,1,1,1,0,1,1,1,1,14300000.0
iyyappanthangal,1825,0,3,1,1,1,1,1,1,0,1,1,1,1,13100000.0
east tambaram,952,0,2,0,0,0,0,0,0,0,0,0,0,0,5712000.0
east tambaram,796,0,2,0,0,0,0,0,0,0,0,0,0,0,4776000.0
east tambaram,1270,0,3,0,0,0,0,0,0,0,0,0,0,0,7620000.0
east tambaram,930,0,2,0,0,0,0,0,0,0,0,0,0,0,5580000.0
east tambaram,897,0,2,0,0,0,0,0,0,0,0,0,0,0,5382000.0
